,Common Name,Order,Family,Genus,Binomial,Pri Head Col,Sec Head Col,Head Pattern,Num Head Cols,Pri Body Col,Sec Body Col,Body Pattern,Num Body Cols,Pri Leg Col,Sec Leg Col,Leg Pattern,Num Leg Cols,Pri Tail Col,Sec Tail Col,Tail Pattern,Num Tail Cols,Mean Precipitation,Mean Evapotranspiration,MidRange Latitude,PC1
1,Fynbos Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus corriae,B3,G1,1,2,B5,NA,0,1,B3,NA,0,1,NA,NA,NA,NA,34.4,463.12,-33.63,1.48533644
2,Zulu Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus hottentotus,F4,G3,1,2,G2,F4,4,2,G2,NA,0,1,NA,NA,NA,NA,55.31,798.1,-29.74,0.769888357
3,Marley's Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus marleyi,B1,F5,1,2,F3,F5,4,2,F2,NA,0,1,NA,NA,NA,NA,74.66,1009.26,-27.6,0.259589877
4,Robust Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.24,1008.7,-25.64,0.35100631
5,Highveld Golden Mole,Afrosoricida,Chrysochloridae,Amblysomus,Amblysomus septentrionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.76,799.49,-27.28,0.753814552
6,Congo Golden Mole ,Afrosoricida,Chrysochloridae,Huetia,Huetia leucorhina,A1,B5,1,2,B5,NA,0,1,B5,NA,0,1,NA,NA,NA,NA,129.9,1226.73,-2.2,-0.605417078
7,Yellow Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris obtusirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.42,861.55,-23.61,0.556030886
8,Somali Golden Mole,Afrosoricida,Chrysochloridae,Calcochloris,Calcochloris tytonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,509,2.77,1.404303023
9,Arend's Golden Mole,Afrosoricida,Chrysochloridae,Carpitalpa,Carpitalpa arendsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.34,989.62,-18.89,0.090950277
10,Duthie's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa duthieae,F4,NA,0,1,F5,NA,0,1,F5,NA,0,1,NA,NA,NA,NA,53.64,639.91,-33.65,1.02887815
11,Sclater's Golden Mole,Afrosoricida,Chrysochloridae,Chlorotalpa,Chlorotalpa sclateri,F2,F4,1,2,F2,NA,0,1,F2,NA,0,1,NA,NA,NA,NA,38.02,534.62,-29.65,1.340732559
12,Cape Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris asiatica,B5,A1,1,2,B5,NA,0,1,B5,NA,0,1,NA,NA,NA,NA,19.96,331.28,-32.08,1.82662066
13,Stuhlmann's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris stuhlmanni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.83,1306.84,-1.35,-0.564346223
14,Visagie's Golden Mole,Afrosoricida,Chrysochloridae,Chrysochloris,Chrysochloris visagiei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.49,239.03,-31.44,2.040101611
15,Giant Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax trevelyani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.73,956.76,-32.02,0.445287614
16,Rough-Haired Golden Mole,Afrosoricida,Chrysochloridae,Chrysospalax,Chrysospalax villosus,F4,F1,1,2,F3,F2,6,2,F2,NA,0,1,NA,NA,NA,NA,69.15,952.11,-27.87,0.400325124
17,De Winton's Golden Mole,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris wintoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.24,NA
18,Van Zyl's Golden Mole,Afrosoricida,Chrysochloridae,Cryptochloris,Cryptochloris zyli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,355,-32.09,1.828261662
19,Grant's Golden Mole,Afrosoricida,Chrysochloridae,Eremitalpa,Eremitalpa granti,G1,G2,1,2,G1,B4,4,2,G1,NA,0,1,NA,NA,NA,NA,5.49,178.79,-27.49,2.199905918
20,Gunning's Golden Mole,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus gunningi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.99,998.54,-23.95,0.340172912
21,Juliana's Golden Mole ,Afrosoricida,Chrysochloridae,Neamblysomus,Neamblysomus julianae,G2,G3,1,2,F3,NA,0,1,D2,NA,0,1,NA,NA,NA,NA,52.63,765.87,-25.06,0.845148051
22,Lesser Hedgehog Tenrec,Afrosoricida,Tenrecidae,Echinops,Echinops telfairi,E1,G1,3,3,G1,E1,"1, 4",3,E1,NA,0,1,NA,NA,NA,NA,57.94,801.62,-22.58,0.739199879
23,Large-Eared Tenrec,Afrosoricida,Tenrecidae,Geogale,Geogale aurita,C3,G1,1,2,C3,G1,4,2,C3,NA,0,1,C3,NA,0,1,57.89,796.39,-22.55,0.747712361
24,Highland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes nigriceps,C5,G1,1,2,C5,G1,3,2,C4,NA,0,1,NA,NA,NA,NA,149.95,1263.42,-22.17,-0.85450753
25,Lowland Streaked Tenrec,Afrosoricida,Tenrecidae,Hemicentetes,Hemicentetes semispinosus,C5,G2,2,2,C5,G2,3,2,C4,G2,2,2,NA,NA,NA,NA,175.17,1342.17,-19.31,-1.217890706
